GHI,Protected_Land,Habitat,Slope,Population_Density,Distance_to_Substation,Land_Cover,geometry,Wattage,GEOID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE
15.0,85.53350363529181,40.85089697088521,67.38195077484048,100.0,50.0,93.93196745417116,POINT Z (-119.13000000000007 34.208900000000135 0),0.8,061110049021,06,111,004902,1
15.0,57.1950437940611,76.75767081658661,63.102089422972824,100.0,64.57112047838447,93.97235565140673,POINT Z (-117.26683100000011 34.09469500000006 0),0.9,060719801001,06,071,980100,1
5.0,67.3496046751461,37.032153710420545,22.047928331466967,100.0,50.0,66.22586020978335,POINT Z (-122.09270600000009 38.2321080000001 0),0.9,060952523051,06,095,252305,1
17.02970297029703,96.19449073620234,61.88559945103421,87.63406493375139,100.0,50.0,98.03793745711205,POINT Z (-114.9036290000001 33.56532900000013 0),0.9,060659810001,06,065,981000,1
15.0,89.36574845603373,77.74286834624057,63.1543137254902,100.0,50.0,92.33330065679836,POINT Z (-117.20000000000007 34.597500000000124 0),0.9,060710121011,06,071,012101,1
5.0,45.4778028592927,35.87050289187334,12.595357037907728,100.0,50.0,56.821880207822765,POINT Z (-121.92640000000006 38.4106000000001 0),2.0,060952529043,06,095,252904,3
17.287030683266348,54.90330813782271,48.11783158513871,37.06712457071495,100.0,58.153612390942065,84.64532888932457,POINT Z (-115.46861100000007 35.55611100000011 0),133.4,060710103001,06,071,010300,1
17.700225468091364,54.247622782080185,46.24007450249975,44.859747545582046,100.0,59.598568767767865,80.38898147240467,POINT Z (-115.45250000000007 35.53305600000014 0),126.0,060710103001,06,071,010300,1
17.15714145671993,55.47288652691664,50.226448387413,33.65451442755197,100.0,56.04401529261837,87.37976668954025,POINT Z (-115.48250000000007 35.58083300000007 0),133.4,060710103001,06,071,010300,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-75.06670000000003 39.463600000000106 0),4.1,340110410022,34,011,041002,2
90.0,48.45072506658775,74.92255661209686,71.43223986937807,100.0,59.36329771591021,89.99852955592588,POINT Z (-105.14590400000007 40.59109900000013 0),1.9,080690023002,08,069,002300,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-87.65140000000004 41.67580000000011 0),9.0,170315304001,17,031,530400,1
37.29242231153808,99.42750710714635,93.65356337613959,99.72649740221547,100.0,50.0,90.00764630918538,POINT Z (-98.40033900000006 29.30417700000009 0),13.5,480291417002,48,029,141700,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-81.59560000000009 35.25360000000013 0),1.0,370459515031,37,045,951503,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-81.95637700000006 30.320748000000147 0),12.5,120310173001,12,031,017300,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-83.31707200000004 40.87950000000011 0),10.0,391759380001,39,175,938000,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.82293500000004 40.86062900000018 0),2.2,340410314012,34,041,031401,2
20.0,75.72002744828939,69.96127830604843,64.69235772357723,94.49416723850602,61.41407705126948,88.9710812665425,POINT Z (-114.9933000000001 35.781400000000104 0),48.0,320030057032,32,003,005703,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-75.23845199999997 40.760545000000135 0),2.8,420950171042,42,095,017104,2
15.0,62.86834624056465,74.4770120576414,65.26877682403433,100.0,60.19017743358494,95.21890010783257,POINT Z (-117.4001130000001 34.09427900000007 0),1.0,060710035101,06,071,003510,1
15.0,53.81756035035249,75.26517008136457,68.85562745306036,100.0,62.751200862660525,93.55004411332223,POINT Z (-117.23057100000007 34.08627600000016 0),2.5,060710078001,06,071,007800,1
15.0,73.3854818523154,61.659151063621216,73.7654595510377,100.0,50.031859621605726,93.01235173022253,POINT Z (-117.57305500000007 34.041389000000045 0),2.0,060710127001,06,071,012700,1
15.0,53.72783593249306,74.83874129987257,69.48098457637862,100.0,62.3085971963533,93.489265758259,POINT Z (-117.22750000000009 34.08611100000014 0),2.5,060710078001,06,071,007800,1
15.0,73.32916145181477,62.670816586609156,73.10764331210191,100.0,50.10783256543476,93.14361337123812,POINT Z (-117.56500000000003 34.04194400000013 0),2.0,060710127001,06,071,012700,1
15.0,73.60450563204004,62.141456719929415,73.48468793048639,100.0,50.06126850308793,93.03244779923537,POINT Z (-117.5716660000001 34.04277800000008 0),1.0,060710127001,06,071,012700,1
15.0,67.73177599332568,71.8993235957259,72.20374906805837,100.0,52.48750122537006,93.85373982942849,POINT Z (-117.51694400000007 34.07500000000012 0),1.5,060710022041,06,071,002204,1
15.0,54.38514090520922,74.86520929320655,69.03576400042832,100.0,60.89157925693559,93.2389961768454,POINT Z (-117.2413880000001 34.075833000000195 0),3.5,060710078001,06,071,007800,1
15.0,73.27909887359199,62.906087638466815,72.90484282073066,100.0,50.12498774629938,93.19066758160965,POINT Z (-117.56166600000006 34.04222200000016 0),0.5,060710127001,06,071,012700,1
15.0,53.85601367229224,75.1975296539555,68.74005333333334,100.0,62.15812175276934,93.4613273208509,POINT Z (-117.23557000000007 34.083499000000124 0),3.5,060710078001,06,071,007800,1
15.0,67.72068785825951,72.28163905499461,72.5975505857295,100.0,52.72669346142535,93.87540437212039,POINT Z (-117.5166660000001 34.079167000000105 0),3.5,060710022041,06,071,002204,1
15.0,53.759880367442854,75.23282031173414,68.89328651984253,100.0,62.455641603764334,93.50249975492599,POINT Z (-117.23361100000002 34.085556000000125 0),1.5,060710078001,06,071,007800,1
15.0,65.04271723275683,71.64199588275659,71.1236472731169,100.0,52.693363395745514,94.01264581903735,POINT Z (-117.50333300000008 34.0727780000001 0),3.5,060710022041,06,071,002204,1
15.0,67.751873438801,72.66542495833741,73.06863892731722,100.0,52.98402117439467,93.89442211547887,POINT Z (-117.51638800000002 34.08333300000014 0),1.5,060710022041,06,071,002204,1
15.0,68.04707842933028,72.43162435055386,72.97639804380182,100.0,52.68159984315263,93.78433486913048,POINT Z (-117.5202770000001 34.08083300000012 0),2.5,060710022041,06,071,002204,1
15.0,53.25998718222602,73.31977257131653,72.16286372200126,100.0,60.71071463582002,93.2206646407215,POINT Z (-117.2114000000001 34.0800000000001 0),2.0,060710078001,06,071,007800,1
85.82589942162534,50.86952259582394,62.78404078031566,44.76335877862596,100.0,50.0,79.28487403195766,POINT Z (-104.63565900000005 36.468078000000055 0),30.6,350079507001,35,007,950700,1
15.0,60.95676894422115,75.46515047544358,73.6793489318413,100.0,65.0852857562984,95.96647387511028,POINT Z (-117.42532400000012 34.13121400000016 0),6.0,060710023061,06,071,002306,1
15.0,60.74502499754926,75.49014802470346,73.33991853360489,100.0,65.30193118321733,96.02235074992647,POINT Z (-117.42166600000003 34.1311110000001 0),2.0,060710023061,06,071,002306,1
15.0,58.0319829424307,76.56798353102637,62.55603728593106,100.0,64.60052935986668,94.06940496029802,POINT Z (-117.27416600000011 34.09416700000011 0),3.5,060710065012,06,071,006501,2
15.0,89.88922654641702,74.90197039505931,69.32218844984803,100.0,50.0,92.99970591118517,POINT Z (-117.25793800000007 34.4801700000001 0),1.0,060710100391,06,071,010039,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-75.85220600000004 40.86014200000012 0),10.0,420250203012,42,025,020301,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-71.047171 42.300802000000104 0),1.3,250250921013,25,025,092101,3
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-71.09256200000004 42.781056000000106 0),0.8,250092607001,25,009,260700,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-71.70297900000004 42.10523700000013 0),0.8,250277502003,25,027,750200,3
15.0,40.061039781098714,23.67022840897951,20.890126206384558,100.0,50.0,71.01833153612391,POINT Z (-117.36361000000007 38.238889000000114 0),110.0,320239602001,32,023,960200,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-75.65780000000002 39.96470000000007 0),0.9,420293039023,42,029,303902,3
15.0,76.7571806685619,54.57014018233507,17.8594881699662,100.0,59.150083325164196,89.36153318302127,POINT Z (-118.50470000000008 34.78920000000017 0),66.0,060379012091,06,037,901209,1
15.0,97.12381139104009,72.12136065091657,84.1924472780775,100.0,50.803842760513675,94.13302617390453,POINT Z (-117.43527700000008 34.550833000000125 0),10.0,060710091331,06,071,009133,1
15.0,89.76570924419174,59.17998235467111,68.43377418081326,100.0,50.0,91.94618174688756,POINT Z (-118.19570000000009 35.22963500000009 0),8.5,060290060041,06,029,006004,1
15.0,96.05038721693951,77.52377217919812,68.53567181926279,67.33261444956376,78.2139005979806,88.98735418096265,POINT Z (-118.43083300000009 34.3197220000001 0),2.2,060371060201,06,037,106020,1
15.0,87.70120576414077,63.0457798255073,86.1514229636899,100.0,54.60101950789139,96.35614155474954,POINT Z (-118.27722000000001 33.7331000000001 0),1.1,060379800311,06,037,980031,1
15.0,88.60111753749632,59.279972551710614,71.34332023575638,100.0,52.00470542103715,98.35467111067543,POINT Z (-118.24140500000007 33.794283000000085 0),1.3,060372941202,06,037,294120,2
15.0,89.9009900990099,67.83648661895893,68.40631163708086,100.0,55.06077835506323,91.4223115380845,POINT Z (-118.20690300000008 34.128300000000124 0),1.0,060371816001,06,037,181600,1
15.0,91.48318792275268,57.383099696108225,67.42871911506255,100.0,54.79854916184688,91.55523968238408,POINT Z (-118.22972200000008 34.05780000000004 0),1.2,060372060201,06,037,206020,1
15.0,89.52455641603764,59.500539162827174,78.63052011776252,100.0,51.37241446916969,97.94853445740614,POINT Z (-118.28493000000009 33.783102000000056 0),2.2,060379800151,06,037,980015,1
90.0,91.46848348201156,60.67689442211548,88.1469156650442,100.0,50.0,92.53906479756887,POINT Z (-105.92762200000008 37.69453500000011 0),35.0,080039600001,08,003,960000,1
20.0,96.10038231545927,51.4028036467013,81.7366924811293,100.0,50.0,98.4560337221841,POINT Z (-111.48401100000007 33.16060100000012 0),20.0,040210002081,04,021,000208,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-80.60111100000003 36.47666700000013 0),1.2,371719302021,37,171,930202,1
20.0,99.800019605921,64.71032251740026,99.03440839133418,96.34839721595922,78.26781688069796,90.4239780413685,POINT Z (-112.37944000000009 33.52611100000009 0),12.8,040130611001,04,013,061100,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-75.43750000000001 38.99305600000006 0),1.2,100010432022,10,001,043202,2
15.0,66.01509655916087,74.66228801097931,32.08262842995667,100.0,67.36251347907069,94.03695716106265,POINT Z (-117.33914400000012 35.01771700000011 0),275.0,060710116021,06,071,011602,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-80.99670000000008 35.24580000000006 0),1.9,371190059191,37,119,005919,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-79.96919999999999 36.10530000000016 0),1.3,370810162011,37,081,016201,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-80.99670000000008 35.32610000000005 0),1.0,370710301061,37,071,030106,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-75.50444400000005 39.18361100000007 0),10.0,100010405022,10,001,040502,2
85.0,96.47681599843153,76.91598862856583,88.47345612134345,98.46093520243113,81.48269777472797,93.45054406430742,POINT Z (-106.67333300000008 31.792778000000133 0),20.0,350130017014,35,013,001701,4
15.0,91.73806489559847,43.98882462503676,74.59081915314603,99.94608371728262,50.0,88.82697774727968,POINT Z (-120.87900000000009 36.627000000000095 0),140.0,060690008021,06,069,000802,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.39951100000003 40.494804000000144 0),1.7,340230018033,34,023,001803,3
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.75390000000007 40.23140000000015 0),1.0,340210017002,34,021,001700,2
15.0,94.97794333888834,50.68375649446133,43.94085165126898,100.0,50.0,92.65581805705322,POINT Z (-120.11000000000008 35.98972200000003 0),6.0,060310017031,06,031,001703,1
15.0,94.97794333888834,51.12341927262033,45.72558042250575,100.0,50.0,92.18635427899225,POINT Z (-120.11027700000002 35.983056000000126 0),20.0,060310017031,06,031,001703,1
15.0,94.97794333888834,51.12341927262033,45.72558042250575,100.0,50.0,92.18635427899225,POINT Z (-120.11027700000002 35.982778000000096 0),19.0,060310017031,06,031,001703,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-75.86591600000004 40.152069000000104 0),1.6,420110117032,42,011,011703,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-77.60580000000003 36.49720000000011 0),1.3,371319204011,37,131,920401,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-75.51492400000002 41.06102200000009 0),3.0,420893003163,42,089,300316,3
90.0,82.75659249093226,62.64287814920106,89.11171689135607,100.0,50.0,92.06842466424861,POINT Z (-105.95583200000006 37.598579000000065 0),30.0,080039600001,08,003,960000,1
85.30879325556317,89.01725321046956,57.28310949906872,67.84260219962648,100.0,50.0,79.47260072541907,POINT Z (-105.60944000000002 36.71694400000015 0),1.0,350559523001,35,055,952300,1
15.0,87.3021582733813,33.67954122144888,73.49414259745505,100.0,54.77159102048819,89.97088520733261,POINT Z (-123.2347220000001 45.1122220000001 0),1.6,410710310002,41,071,031000,2
20.0,76.58464856386628,52.37623762376238,91.49250073522204,100.0,50.0,98.86060190177433,POINT Z (-113.49450000000006 32.97740000000013 0),347.7,040270121002,04,027,012100,2
90.0,92.59876482697774,59.62993824134889,87.13882820258192,100.0,50.0,91.94167238506029,POINT Z (-105.89090000000007 37.68546700000014 0),19.0,080039600001,08,003,960000,1
15.0,78.76678756984609,64.84707381629252,13.842644723545547,100.0,63.306538574649544,89.92138025683757,POINT Z (-118.42444000000005 34.78027800000015 0),241.5,060379012091,06,037,901209,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.21440000000003 40.62000000000016 0),2.7,340390354001,34,039,035400,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.656719 40.168811000000076 0),3.6,340210030011,34,021,003001,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.09190000000001 40.67720000000004 0),1.5,340170103003,34,017,010300,3
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.26999800000006 40.53439300000016 0),2.5,340230040001,34,023,004000,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-76.73547400000002 40.04385600000008 0),1.6,421330210202,42,133,021020,2
55.0,97.1512596804235,36.4866189589256,99.55308303107539,100.0,50.0,93.34996568963827,POINT Z (-110.81060000000006 32.09697300000014 0),1.2,040190040732,04,019,004073,2
16.508675620037252,92.75953337908048,68.82168414861287,91.186322892537,100.0,50.0,95.51808646211155,POINT Z (-114.99805500000008 33.6650000000001 0),250.0,060650469003,06,065,046900,3
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.58685 40.36977200000009 0),4.1,340230085042,34,023,008504,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-81.15249800000002 35.909074000000096 0),1.0,370030404001,37,003,040400,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-77.23440000000001 40.026400000000194 0),2.8,420410127011,42,041,012701,1
5.0,85.47348299186355,47.30173512400745,38.06783525723244,100.0,50.0,78.93157533575139,POINT Z (-121.72940000000007 38.6597220000001 0),1.0,061130112082,06,113,011208,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-77.06400000000005 36.425000000000125 0),5.0,370919501024,37,091,950102,4
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-82.33782800000004 29.70040700000006 0),1.6,120010019021,12,001,001902,1
15.0,84.71816488579552,35.41760611704735,16.417301658449126,100.0,50.0,86.78482501715519,POINT Z (-119.91663000000007 35.3237390000001 0),249.8,060790127081,06,079,012708,1
9.308401137143417,40.307141028922445,29.427016959121655,21.462625934351642,100.0,50.0,61.31163611410646,POINT Z (-119.07472200000007 36.028056000000085 0),5.0,061070034013,06,107,003401,3
19.805901382217428,58.1864523085972,49.56915988628566,87.97974658285942,100.0,50.0,89.63925105381826,POINT Z (-115.35028000000003 35.79305600000008 0),50.0,320030058771,32,003,005877,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-75.30947700000004 39.61302800000009 0),17.7,340330207003,34,033,020700,3
15.0,95.85922948730517,51.676306244485836,77.87360167276529,100.0,50.0,92.69875502401726,POINT Z (-116.35083000000003 33.298889000000116 0),26.0,060730210022,06,073,021002,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.39126800000007 40.535787000000134 0),3.8,340230015045,34,023,001504,5
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-84.01567600000006 35.02041500000016 0),0.9,370399305011,37,039,930501,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-84.095841 41.38843100000006 0),8.0,390690004002,39,069,000400,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-76.03888800000001 40.936111000000096 0),1.8,420792170012,42,079,217001,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.40444400000003 40.684444000000056 0),1.0,340390381012,34,039,038101,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-70.97444799999998 41.71580400000014 0),1.6,250056531023,25,005,653102,3
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-73.14527700000005 44.43611100000014 0),2.2,500070033012,50,007,003301,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.85666600000002 40.483888000000086 0),7.9,340190113051,34,019,011305,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-75.01222200000005 40.521667000000086 0),3.0,340190115002,34,019,011500,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.97694400000003 40.51444400000004 0),3.0,340190115003,34,019,011500,3
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-74.91222200000006 40.6758330000001 0),2.0,340190102022,34,019,010202,2
20.0,100.0,46.61062640917557,89.8188412900696,100.0,50.0,98.61974316243506,POINT Z (-115.65828400000008 32.66328900000013 0),128.9,060250119011,06,025,011901,1
20.0,99.9448003942829,42.584550534261346,74.56551182647954,100.0,50.0,99.15694539751004,POINT Z (-115.77931100000004 32.77222500000013 0),148.7,060250123012,06,025,012301,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-76.60541700000007 40.64055600000012 0),1.0,421070012004,42,107,001200,4
15.0,95.0,44.734339770610724,50.11171597633136,100.0,50.0,91.52436035682776,POINT Z (-120.10694400000006 36.53138900000007 0),20.0,060190082003,06,019,008200,3
15.0,95.0,52.28654053524164,67.56053232694408,100.0,50.09802960494069,92.857857072836,POINT Z (-120.10333300000005 36.400278000000164 0),15.0,060190078021,06,019,007802,1
15.0,95.0,52.536516027840406,69.55105268360185,100.0,50.0,93.1021468483482,POINT Z (-120.12489800000013 36.37872600000009 0),15.0,060190078021,06,019,007802,1
5.0,91.1928463942586,41.468483482011564,26.879734419797796,100.0,50.0,81.40250955788648,POINT Z (-121.39110000000008 38.48690000000015 0),1.0,060670051022,06,067,005102,2
90.0,47.96438788596232,74.7019900009803,70.9140601727733,100.0,59.12067444368199,90.0,POINT Z (-105.14709700000009 40.59284100000019 0),3.0,080690023002,08,069,002300,2
90.0,40.168878166465625,40.46122929124596,36.07873235949492,100.0,50.0,83.28467797274777,POINT Z (-104.78170000000003 38.722800000000156 0),1.5,080410044031,08,041,004403,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-75.59387300000004 40.55621100000014 0),1.9,420770062042,42,077,006204,2
15.0,96.01754729928439,50.19556906185668,48.293472584856396,100.0,55.234780903832956,92.09881384178021,POINT Z (-120.31611100000008 36.53027800000009 0),10.0,060190082006,06,019,008200,6
15.0,96.16753259484365,53.15998431526321,68.59458649620456,100.0,54.42554651504754,91.85521027350259,POINT Z (-120.34354300000005 36.42508500000011 0),20.0,060190079031,06,019,007903,1
15.0,95.0,48.33398686403294,71.57689899833055,100.0,50.69110871483188,88.22527203215371,POINT Z (-120.03055500000012 36.181389000000124 0),20.0,060190078012,06,019,007801,2
55.0,75.86903244779924,42.950691108714835,98.60905793549652,100.0,50.0,93.81678266836585,POINT Z (-111.03310000000008 32.28940000000016 0),0.9,040190044182,04,019,004418,2
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-159.3315990000001 22.08041600000009 0),1.0,150070402053,15,007,040205,3
15.0,71.51439299123905,59.90197039505931,73.99777636594663,100.0,50.0,92.98343299676502,POINT Z (-117.57194400000006 34.03166700000011 0),1.5,060710127001,06,071,012700,1
15.0,71.78347934918648,60.587197333594744,73.59386932541366,100.0,50.002450740123514,93.04832859523576,POINT Z (-117.56916600000004 34.03250000000007 0),1.0,060710127001,06,071,012700,1
90.0,41.644277270284796,28.413880992059603,47.88058489033306,100.0,50.0,82.55425938633468,POINT Z (-104.8066270000001 38.95790100000008 0),5.5,080410038021,08,041,003802,1
