Description,2017,2018,2019,2020,2021,2022,state,county
Real GDP (thousands of chained 2017 dollars) ,519896,542034,604190,522219,567149,552579,Iowa,Mills
Chain-type quantity indexes for real GDP ,100.000,104.258,116.214,100.447,109.089,106.287,Iowa,Mills
Current-dollar GDP (thousands of current dollars) ,519896,555370,633156,562032,655697,702086,Iowa,Mills
Real GDP (thousands of chained 2017 dollars) ,619016,666311,670515,579527,604232,633568,Iowa,Mitchell
Chain-type quantity indexes for real GDP ,100.000,107.640,108.319,93.621,97.612,102.351,Iowa,Mitchell
Current-dollar GDP (thousands of current dollars) ,619016,678415,696251,608835,694468,828151,Iowa,Mitchell
Real GDP (thousands of chained 2017 dollars) ,304291,298052,315851,298278,339020,342642,Iowa,Monona
Chain-type quantity indexes for real GDP ,100.000,97.950,103.799,98.024,111.413,112.603,Iowa,Monona
Current-dollar GDP (thousands of current dollars) ,304291,303161,328400,315691,400090,469163,Iowa,Monona
Real GDP (thousands of chained 2017 dollars) ,402057,429960,417169,411476,466479,496812,Iowa,Monroe
Chain-type quantity indexes for real GDP ,100.000,106.940,103.759,102.343,116.023,123.567,Iowa,Monroe
Current-dollar GDP (thousands of current dollars) ,402057,434835,432710,439242,515304,574763,Iowa,Monroe
Real GDP (thousands of chained 2017 dollars) ,418016,422854,422487,409435,450104,443513,Iowa,Montgomery
Chain-type quantity indexes for real GDP ,100.000,101.157,101.069,97.947,107.676,106.099,Iowa,Montgomery
Current-dollar GDP (thousands of current dollars) ,418016,432863,444112,441147,509609,556234,Iowa,Montgomery
Real GDP (thousands of chained 2017 dollars) ,2732058,2700817,2580716,2542297,2522513,2578843,Iowa,Muscatine
Chain-type quantity indexes for real GDP ,100.000,98.856,94.461,93.054,92.330,94.392,Iowa,Muscatine
Current-dollar GDP (thousands of current dollars) ,2732058,2755050,2678222,2654300,2773415,3057358,Iowa,Muscatine
Real GDP (thousands of chained 2017 dollars) ,957344,935332,858935,858641,856850,883743,Iowa,O'Brien
Chain-type quantity indexes for real GDP ,100.000,97.701,89.721,89.690,89.503,92.312,Iowa,O'Brien
Current-dollar GDP (thousands of current dollars) ,957344,944735,882412,890707,986238,1162378,Iowa,O'Brien
Real GDP (thousands of chained 2017 dollars) ,447181,454239,340170,327620,355806,407093,Iowa,Osceola
Chain-type quantity indexes for real GDP ,100.000,101.578,76.070,73.263,79.566,91.035,Iowa,Osceola
Current-dollar GDP (thousands of current dollars) ,447181,453352,342443,330449,407806,552766,Iowa,Osceola
Real GDP (thousands of chained 2017 dollars) ,608111,606710,618026,586361,641130,621580,Iowa,Page
Chain-type quantity indexes for real GDP ,100.000,99.770,101.630,96.423,105.430,102.215,Iowa,Page
Current-dollar GDP (thousands of current dollars) ,608111,618681,644439,624708,732723,793559,Iowa,Page
Real GDP (thousands of chained 2017 dollars) ,588624,606677,503411,457819,528845,577658,Iowa,Palo Alto
Chain-type quantity indexes for real GDP ,100.000,103.067,85.523,77.778,89.844,98.137,Iowa,Palo Alto
Current-dollar GDP (thousands of current dollars) ,588624,611318,512035,471249,610279,771463,Iowa,Palo Alto
Real GDP (thousands of chained 2017 dollars) ,1476003,1494653,1415461,1343127,1453299,1526073,Iowa,Plymouth
Chain-type quantity indexes for real GDP ,100.000,101.264,95.898,90.998,98.462,103.392,Iowa,Plymouth
Current-dollar GDP (thousands of current dollars) ,1476003,1503645,1450884,1411043,1634576,1896804,Iowa,Plymouth
Real GDP (thousands of chained 2017 dollars) ,493271,533231,527187,467002,512855,517436,Iowa,Pocahontas
Chain-type quantity indexes for real GDP ,100.000,108.101,106.876,94.674,103.970,104.899,Iowa,Pocahontas
Current-dollar GDP (thousands of current dollars) ,493271,535209,538492,482054,586162,693254,Iowa,Pocahontas
Real GDP (thousands of chained 2017 dollars) ,43240294,43303726,44816347,45908548,48921087,47683356,Iowa,Polk
Chain-type quantity indexes for real GDP ,100.000,100.147,103.645,106.171,113.138,110.275,Iowa,Polk
Current-dollar GDP (thousands of current dollars) ,43240294,44415393,46737264,49222626,53429788,55128436,Iowa,Polk
Real GDP (thousands of chained 2017 dollars) ,4349095,4510550,4370722,4115273,4317964,4349226,Iowa,Pottawattamie
Chain-type quantity indexes for real GDP ,100.000,103.712,100.497,94.624,99.284,100.003,Iowa,Pottawattamie
Current-dollar GDP (thousands of current dollars) ,4349095,4620900,4594864,4402743,4886475,5326550,Iowa,Pottawattamie
Real GDP (thousands of chained 2017 dollars) ,1051882,1090946,1103209,1123069,1182184,1222295,Iowa,Poweshiek
Chain-type quantity indexes for real GDP ,100.000,103.714,104.880,106.768,112.388,116.201,Iowa,Poweshiek
Current-dollar GDP (thousands of current dollars) ,1051882,1119159,1148772,1206660,1350756,1530330,Iowa,Poweshiek
Real GDP (thousands of chained 2017 dollars) ,189216,192019,185375,173802,176273,165129,Iowa,Ringgold
Chain-type quantity indexes for real GDP ,100.000,101.481,97.970,91.854,93.159,87.270,Iowa,Ringgold
Current-dollar GDP (thousands of current dollars) ,189216,192564,188021,178831,206805,222486,Iowa,Ringgold
Real GDP (thousands of chained 2017 dollars) ,523685,536643,499063,472801,541844,571402,Iowa,Sac
Chain-type quantity indexes for real GDP ,100.000,102.474,95.298,90.283,103.467,109.112,Iowa,Sac
Current-dollar GDP (thousands of current dollars) ,523685,538179,506630,483746,625737,773548,Iowa,Sac
Real GDP (thousands of chained 2017 dollars) ,9505890,9402538,9591035,9464867,9802814,9868941,Iowa,Scott
Chain-type quantity indexes for real GDP ,100.000,98.913,100.896,99.568,103.124,103.819,Iowa,Scott
Current-dollar GDP (thousands of current dollars) ,9505890,9651781,10003465,9959360,10846814,11652699,Iowa,Scott
Real GDP (thousands of chained 2017 dollars) ,676877,704335,702083,666914,773997,768800,Iowa,Shelby
Chain-type quantity indexes for real GDP ,100.000,104.057,103.724,98.528,114.348,113.580,Iowa,Shelby
Current-dollar GDP (thousands of current dollars) ,676877,713992,723953,702712,871669,965062,Iowa,Shelby
Real GDP (thousands of chained 2017 dollars) ,2622378,2652098,2322570,2457050,2369324,2587382,Iowa,Sioux
Chain-type quantity indexes for real GDP ,100.000,101.133,88.567,93.695,90.350,98.665,Iowa,Sioux
Current-dollar GDP (thousands of current dollars) ,2622378,2654740,2364812,2545015,2658347,3256855,Iowa,Sioux
Real GDP (thousands of chained 2017 dollars) ,5502762,5571697,5635840,5544734,5799272,5782585,Iowa,Story
Chain-type quantity indexes for real GDP ,100.000,101.253,102.418,100.763,105.388,105.085,Iowa,Story
Current-dollar GDP (thousands of current dollars) ,5502762,5688091,5877045,5942728,6422113,6803818,Iowa,Story
Real GDP (thousands of chained 2017 dollars) ,569743,608590,611137,643935,694249,684535,Iowa,Tama
Chain-type quantity indexes for real GDP ,100.000,106.818,107.265,113.022,121.853,120.148,Iowa,Tama
Current-dollar GDP (thousands of current dollars) ,569743,619241,634755,687053,804332,875613,Iowa,Tama
Real GDP (thousands of chained 2017 dollars) ,244356,249999,251101,247291,301172,293879,Iowa,Taylor
Chain-type quantity indexes for real GDP ,100.000,102.310,102.760,101.201,123.251,120.267,Iowa,Taylor
Current-dollar GDP (thousands of current dollars) ,244356,252493,260041,262431,345575,384588,Iowa,Taylor
Real GDP (thousands of chained 2017 dollars) ,589546,625610,640115,684301,783221,839681,Iowa,Union
Chain-type quantity indexes for real GDP ,100.000,106.117,108.578,116.073,132.851,142.428,Iowa,Union
Current-dollar GDP (thousands of current dollars) ,589546,644885,667841,709180,880530,1012856,Iowa,Union
Real GDP (thousands of chained 2017 dollars) ,230317,238700,222464,215901,244661,232442,Iowa,Van Buren
Chain-type quantity indexes for real GDP ,100.000,103.640,96.590,93.741,106.228,100.923,Iowa,Van Buren
Current-dollar GDP (thousands of current dollars) ,230317,242381,233383,233139,271887,292437,Iowa,Van Buren
Real GDP (thousands of chained 2017 dollars) ,1725737,1691883,1657608,1641566,1764162,1723775,Iowa,Wapello
Chain-type quantity indexes for real GDP ,100.000,98.038,96.052,95.123,102.227,99.886,Iowa,Wapello
Current-dollar GDP (thousands of current dollars) ,1725737,1722391,1739440,1776016,1984930,2056173,Iowa,Wapello
Real GDP (thousands of chained 2017 dollars) ,1238766,1242968,1279175,1272428,1391443,1368732,Iowa,Warren
Chain-type quantity indexes for real GDP ,100.000,100.339,103.262,102.717,112.325,110.492,Iowa,Warren
Current-dollar GDP (thousands of current dollars) ,1238766,1271260,1346207,1382729,1564220,1649923,Iowa,Warren
Real GDP (thousands of chained 2017 dollars) ,1151164,1218328,1201683,1040767,1201344,1270872,Iowa,Washington
Chain-type quantity indexes for real GDP ,100.000,105.834,104.388,90.410,104.359,110.399,Iowa,Washington
Current-dollar GDP (thousands of current dollars) ,1151164,1225415,1224885,1068713,1346903,1622488,Iowa,Washington
Real GDP (thousands of chained 2017 dollars) ,220089,238307,225843,215535,267639,248624,Iowa,Wayne
Chain-type quantity indexes for real GDP ,100.000,108.277,102.615,97.931,121.605,112.965,Iowa,Wayne
Current-dollar GDP (thousands of current dollars) ,220089,243725,237829,233873,301645,309137,Iowa,Wayne
Real GDP (thousands of chained 2017 dollars) ,2156663,2099608,2040163,1948087,2088476,2105636,Iowa,Webster
Chain-type quantity indexes for real GDP ,100.000,97.354,94.598,90.329,96.838,97.634,Iowa,Webster
Current-dollar GDP (thousands of current dollars) ,2156663,2142990,2122968,2068823,2378561,2644271,Iowa,Webster
Real GDP (thousands of chained 2017 dollars) ,399037,429202,407607,429977,478883,507405,Iowa,Winnebago
Chain-type quantity indexes for real GDP ,100.000,107.559,102.148,107.754,120.010,127.157,Iowa,Winnebago
Current-dollar GDP (thousands of current dollars) ,399037,438366,426035,459482,541968,644607,Iowa,Winnebago
Real GDP (thousands of chained 2017 dollars) ,957951,976844,967015,986008,1003796,986693,Iowa,Winneshiek
Chain-type quantity indexes for real GDP ,100.000,101.972,100.946,102.929,104.786,103.000,Iowa,Winneshiek
Current-dollar GDP (thousands of current dollars) ,957951,1001518,1012555,1047470,1148796,1248875,Iowa,Winneshiek
Real GDP (thousands of chained 2017 dollars) ,5168011,5365311,5241792,5118383,5273987,5217724,Iowa,Woodbury
Chain-type quantity indexes for real GDP ,100.000,103.818,101.428,99.040,102.051,100.962,Iowa,Woodbury
Current-dollar GDP (thousands of current dollars) ,5168011,5480065,5485451,5486636,5931873,6300491,Iowa,Woodbury
Real GDP (thousands of chained 2017 dollars) ,298086,294071,297646,286530,354820,351158,Iowa,Worth
Chain-type quantity indexes for real GDP ,100.000,98.653,99.852,96.123,119.032,117.804,Iowa,Worth
Current-dollar GDP (thousands of current dollars) ,298086,303214,314938,308937,413637,464435,Iowa,Worth
Real GDP (thousands of chained 2017 dollars) ,687566,780747,658320,632958,739559,877648,Iowa,Wright
Chain-type quantity indexes for real GDP ,100.000,113.552,95.746,92.058,107.562,127.646,Iowa,Wright
Current-dollar GDP (thousands of current dollars) ,687566,787978,679527,671477,815283,1081262,Iowa,Wright
Real GDP (thousands of chained 2017 dollars) ,495778,519797,553306,552376,576251,556971,Kansas,Allen
Chain-type quantity indexes for real GDP ,100.000,104.845,111.604,111.416,116.232,112.343,Kansas,Allen
Current-dollar GDP (thousands of current dollars) ,495778,528530,573042,583384,640919,667753,Kansas,Allen
Real GDP (thousands of chained 2017 dollars) ,234828,244185,264879,295960,356545,299113,Kansas,Anderson
Chain-type quantity indexes for real GDP ,100.000,103.985,112.797,126.033,151.832,127.375,Kansas,Anderson
Current-dollar GDP (thousands of current dollars) ,234828,247888,272931,309123,419051,398311,Kansas,Anderson
Real GDP (thousands of chained 2017 dollars) ,721355,717844,708552,684803,678250,628585,Kansas,Atchison
Chain-type quantity indexes for real GDP ,100.000,99.513,98.225,94.933,94.025,87.140,Kansas,Atchison
Current-dollar GDP (thousands of current dollars) ,721355,733008,737039,727478,758279,749888,Kansas,Atchison
Real GDP (thousands of chained 2017 dollars) ,211551,186003,181930,182496,183584,194639,Kansas,Barber
Chain-type quantity indexes for real GDP ,100.000,87.923,85.998,86.266,86.780,92.006,Kansas,Barber
Current-dollar GDP (thousands of current dollars) ,211551,193529,187736,186348,209989,255823,Kansas,Barber
Real GDP (thousands of chained 2017 dollars) ,1214744,1199661,1225253,1239409,1206722,1187074,Kansas,Barton
Chain-type quantity indexes for real GDP ,100.000,98.758,100.865,102.030,99.340,97.722,Kansas,Barton
Current-dollar GDP (thousands of current dollars) ,1214744,1224740,1266083,1297671,1356108,1459703,Kansas,Barton
Real GDP (thousands of chained 2017 dollars) ,611851,658270,606149,590313,584400,609572,Kansas,Bourbon
Chain-type quantity indexes for real GDP ,100.000,107.587,99.068,96.480,95.514,99.628,Kansas,Bourbon
Current-dollar GDP (thousands of current dollars) ,611851,671461,632683,627589,651347,741278,Kansas,Bourbon
Real GDP (thousands of chained 2017 dollars) ,515957,576127,574964,550605,619369,567476,Kansas,Brown
Chain-type quantity indexes for real GDP ,100.000,111.662,111.436,106.715,120.043,109.985,Kansas,Brown
Current-dollar GDP (thousands of current dollars) ,515957,581209,596648,586008,687728,688806,Kansas,Brown
Real GDP (thousands of chained 2017 dollars) ,2363638,2399897,2486394,2463623,2548408,2359250,Kansas,Butler
Chain-type quantity indexes for real GDP ,100.000,101.534,105.194,104.230,107.817,99.814,Kansas,Butler
Current-dollar GDP (thousands of current dollars) ,2363638,2605607,2620417,2445375,2967275,3482341,Kansas,Butler
Real GDP (thousands of chained 2017 dollars) ,114343,123374,117553,132574,134180,118310,Kansas,Chase
Chain-type quantity indexes for real GDP ,100.000,107.898,102.808,115.944,117.349,103.470,Kansas,Chase
Current-dollar GDP (thousands of current dollars) ,114343,124704,120576,137434,156364,156042,Kansas,Chase
Real GDP (thousands of chained 2017 dollars) ,71926,71610,68174,70934,72358,65838,Kansas,Chautauqua
Chain-type quantity indexes for real GDP ,100.000,99.561,94.782,98.621,100.600,91.535,Kansas,Chautauqua
Current-dollar GDP (thousands of current dollars) ,71926,73516,70826,74764,81797,81678,Kansas,Chautauqua
Real GDP (thousands of chained 2017 dollars) ,691377,758220,765135,827140,830606,872820,Kansas,Cherokee
Chain-type quantity indexes for real GDP ,100.000,109.668,110.668,119.637,120.138,126.244,Kansas,Cherokee
Current-dollar GDP (thousands of current dollars) ,691377,777659,796584,860170,940715,1111127,Kansas,Cherokee
Real GDP (thousands of chained 2017 dollars) ,91485,112855,107676,122662,141419,117938,Kansas,Cheyenne
Chain-type quantity indexes for real GDP ,100.000,123.359,117.697,134.078,154.580,128.914,Kansas,Cheyenne
Current-dollar GDP (thousands of current dollars) ,91485,114817,109777,124289,172342,172438,Kansas,Cheyenne
Real GDP (thousands of chained 2017 dollars) ,181465,198187,181576,189060,203039,204115,Kansas,Clark
Chain-type quantity indexes for real GDP ,100.000,109.215,100.061,104.186,111.889,112.482,Kansas,Clark
Current-dollar GDP (thousands of current dollars) ,181465,199795,184114,191021,238929,274005,Kansas,Clark
Real GDP (thousands of chained 2017 dollars) ,260309,276801,285913,282148,293291,224404,Kansas,Clay
Chain-type quantity indexes for real GDP ,100.000,106.335,109.836,108.389,112.670,86.207,Kansas,Clay
Current-dollar GDP (thousands of current dollars) ,260309,281373,296501,299593,344371,291131,Kansas,Clay
Real GDP (thousands of chained 2017 dollars) ,346389,368288,385909,398350,416705,385451,Kansas,Cloud
Chain-type quantity indexes for real GDP ,100.000,106.322,111.409,115.001,120.300,111.277,Kansas,Cloud
Current-dollar GDP (thousands of current dollars) ,346389,375483,402929,423269,474675,477099,Kansas,Cloud
Real GDP (thousands of chained 2017 dollars) ,900870,838393,815820,872861,749211,645388,Kansas,Coffey
Chain-type quantity indexes for real GDP ,100.000,93.065,90.559,96.891,83.165,71.640,Kansas,Coffey
Current-dollar GDP (thousands of current dollars) ,900870,865554,858470,912216,901395,868953,Kansas,Coffey
Real GDP (thousands of chained 2017 dollars) ,63149,54539,56176,52141,53964,69926,Kansas,Comanche
Chain-type quantity indexes for real GDP ,100.000,86.366,88.958,82.568,85.455,110.732,Kansas,Comanche
Current-dollar GDP (thousands of current dollars) ,63149,56707,58645,54837,61958,91926,Kansas,Comanche
Real GDP (thousands of chained 2017 dollars) ,1364357,1385661,1292719,1243774,1317936,1279251,Kansas,Cowley
Chain-type quantity indexes for real GDP ,100.000,101.561,94.749,91.162,96.598,93.762,Kansas,Cowley
Current-dollar GDP (thousands of current dollars) ,1364357,1408996,1345758,1337505,1473443,1532028,Kansas,Cowley
Real GDP (thousands of chained 2017 dollars) ,1668463,1772692,1717161,1674044,1694753,1682766,Kansas,Crawford
Chain-type quantity indexes for real GDP ,100.000,106.247,102.919,100.335,101.576,100.857,Kansas,Crawford
Current-dollar GDP (thousands of current dollars) ,1668463,1809997,1803906,1809471,1923723,2052613,Kansas,Crawford
Real GDP (thousands of chained 2017 dollars) ,99368,107826,111069,132767,137567,193559,Kansas,Decatur
Chain-type quantity indexes for real GDP ,100.000,108.512,111.775,133.611,138.442,194.790,Kansas,Decatur
Current-dollar GDP (thousands of current dollars) ,99368,109367,114752,138455,163032,271244,Kansas,Decatur
Real GDP (thousands of chained 2017 dollars) ,645503,661670,641591,614462,681331,620230,Kansas,Dickinson
Chain-type quantity indexes for real GDP ,100.000,102.505,99.394,95.191,105.550,96.085,Kansas,Dickinson
Current-dollar GDP (thousands of current dollars) ,645503,672727,670860,660037,769706,759194,Kansas,Dickinson
Real GDP (thousands of chained 2017 dollars) ,289459,267814,288698,270549,286711,225663,Kansas,Doniphan
Chain-type quantity indexes for real GDP ,100.000,92.522,99.737,93.467,99.051,77.960,Kansas,Doniphan
Current-dollar GDP (thousands of current dollars) ,289459,270741,297699,283841,326314,283147,Kansas,Doniphan
Real GDP (thousands of chained 2017 dollars) ,4987674,5123305,5148011,5029137,5178674,5219845,Kansas,Douglas
Chain-type quantity indexes for real GDP ,100.000,102.719,103.215,100.831,103.829,104.655,Kansas,Douglas
Current-dollar GDP (thousands of current dollars) ,4987674,5225762,5370429,5399092,5777454,6176139,Kansas,Douglas
Real GDP (thousands of chained 2017 dollars) ,184704,176110,167243,163304,159431,145252,Kansas,Edwards
Chain-type quantity indexes for real GDP ,100.000,95.347,90.547,88.414,86.317,78.641,Kansas,Edwards
Current-dollar GDP (thousands of current dollars) ,184704,174929,167446,162882,190629,210081,Kansas,Edwards
Real GDP (thousands of chained 2017 dollars) ,86183,78357,77301,75815,76996,86517,Kansas,Elk
Chain-type quantity indexes for real GDP ,100.000,90.919,89.694,87.970,89.340,100.387,Kansas,Elk
Current-dollar GDP (thousands of current dollars) ,86183,80659,81439,80221,89341,111964,Kansas,Elk
Real GDP (thousands of chained 2017 dollars) ,1514715,1557782,1556539,1609266,1680506,1772342,Kansas,Ellis
Chain-type quantity indexes for real GDP ,100.000,102.843,102.761,106.242,110.945,117.008,Kansas,Ellis
Current-dollar GDP (thousands of current dollars) ,1514715,1591031,1608878,1684813,1862642,2107135,Kansas,Ellis
Real GDP (thousands of chained 2017 dollars) ,250445,258974,270755,276802,271507,247611,Kansas,Ellsworth
Chain-type quantity indexes for real GDP ,100.000,103.405,108.109,110.524,108.410,98.868,Kansas,Ellsworth
Current-dollar GDP (thousands of current dollars) ,250445,265211,282103,292473,311997,311202,Kansas,Ellsworth
Real GDP (thousands of chained 2017 dollars) ,2194437,2280874,2130892,2148664,2273538,2287775,Kansas,Finney
Chain-type quantity indexes for real GDP ,100.000,103.939,97.104,97.914,103.605,104.253,Kansas,Finney
Current-dollar GDP (thousands of current dollars) ,2194437,2311951,2205808,2270476,2596150,2843169,Kansas,Finney
Real GDP (thousands of chained 2017 dollars) ,2084408,2289802,2184374,2279348,2416136,2444691,Kansas,Ford
Chain-type quantity indexes for real GDP ,100.000,109.854,104.796,109.352,115.915,117.285,Kansas,Ford
Current-dollar GDP (thousands of current dollars) ,2084408,2318820,2256724,2411637,2690972,2864494,Kansas,Ford
Real GDP (thousands of chained 2017 dollars) ,866166,899548,902280,868004,899524,828942,Kansas,Franklin
Chain-type quantity indexes for real GDP ,100.000,103.854,104.169,100.212,103.851,95.702,Kansas,Franklin
Current-dollar GDP (thousands of current dollars) ,866166,918304,944568,931551,1023097,1038105,Kansas,Franklin
Real GDP (thousands of chained 2017 dollars) ,2962651,2946576,2888806,2935636,2976999,2885327,Kansas,Geary
Chain-type quantity indexes for real GDP ,100.000,99.457,97.507,99.088,100.484,97.390,Kansas,Geary
Current-dollar GDP (thousands of current dollars) ,2962651,3024858,3034472,3147757,3310270,3372092,Kansas,Geary
Real GDP (thousands of chained 2017 dollars) ,143536,150373,150135,157336,196982,170892,Kansas,Gove
Chain-type quantity indexes for real GDP ,100.000,104.763,104.598,109.615,137.236,119.059,Kansas,Gove
Current-dollar GDP (thousands of current dollars) ,143536,155390,156315,165476,233321,229581,Kansas,Gove
Real GDP (thousands of chained 2017 dollars) ,123976,125579,121746,125082,143367,119266,Kansas,Graham
Chain-type quantity indexes for real GDP ,100.000,101.293,98.201,100.892,115.641,96.201,Kansas,Graham
Current-dollar GDP (thousands of current dollars) ,123976,130777,127103,129257,168205,164913,Kansas,Graham
Real GDP (thousands of chained 2017 dollars) ,468234,508991,382353,431389,419535,413414,Kansas,Grant
Chain-type quantity indexes for real GDP ,100.000,108.704,81.658,92.131,89.599,88.292,Kansas,Grant
Current-dollar GDP (thousands of current dollars) ,468234,518812,382254,423417,465657,522319,Kansas,Grant
Real GDP (thousands of chained 2017 dollars) ,715892,675258,580023,569766,558866,615705,Kansas,Gray
Chain-type quantity indexes for real GDP ,100.000,94.324,81.021,79.588,78.066,86.005,Kansas,Gray
Current-dollar GDP (thousands of current dollars) ,715892,671584,583823,573636,657491,865360,Kansas,Gray
Real GDP (thousands of chained 2017 dollars) ,157154,148288,117104,127192,135263,180961,Kansas,Greeley
Chain-type quantity indexes for real GDP ,100.000,94.358,74.515,80.935,86.070,115.149,Kansas,Greeley
Current-dollar GDP (thousands of current dollars) ,157154,144486,113073,121673,165274,281513,Kansas,Greeley
Real GDP (thousands of chained 2017 dollars) ,151362,158546,154207,153057,147487,144373,Kansas,Greenwood
Chain-type quantity indexes for real GDP ,100.000,104.746,101.879,101.119,97.439,95.382,Kansas,Greenwood
Current-dollar GDP (thousands of current dollars) ,151362,160971,158297,157976,165577,180498,Kansas,Greenwood
Real GDP (thousands of chained 2017 dollars) ,217067,227645,213469,227776,174459,157072,Kansas,Hamilton
Chain-type quantity indexes for real GDP ,100.000,104.873,98.343,104.934,80.371,72.361,Kansas,Hamilton
Current-dollar GDP (thousands of current dollars) ,217067,224504,211312,223829,208456,226673,Kansas,Hamilton
Real GDP (thousands of chained 2017 dollars) ,262431,258329,274015,274187,280973,258604,Kansas,Harper
Chain-type quantity indexes for real GDP ,100.000,98.437,104.414,104.480,107.065,98.542,Kansas,Harper
Current-dollar GDP (thousands of current dollars) ,262431,268437,286992,290191,323607,328766,Kansas,Harper
Real GDP (thousands of chained 2017 dollars) ,1250787,1312989,1349722,1282312,1357386,1308772,Kansas,Harvey
Chain-type quantity indexes for real GDP ,100.000,104.973,107.910,102.520,108.523,104.636,Kansas,Harvey
Current-dollar GDP (thousands of current dollars) ,1250787,1333981,1413703,1382885,1507637,1575214,Kansas,Harvey
Real GDP (thousands of chained 2017 dollars) ,447183,375174,260418,298325,295405,224265,Kansas,Haskell
Chain-type quantity indexes for real GDP ,100.000,83.897,58.235,66.712,66.059,50.151,Kansas,Haskell
Current-dollar GDP (thousands of current dollars) ,447183,378186,255812,281368,348322,321294,Kansas,Haskell
Real GDP (thousands of chained 2017 dollars) ,115810,123610,105948,114619,108187,94995,Kansas,Hodgeman
Chain-type quantity indexes for real GDP ,100.000,106.735,91.484,98.972,93.418,82.026,Kansas,Hodgeman
Current-dollar GDP (thousands of current dollars) ,115810,122875,104260,111195,130921,140718,Kansas,Hodgeman
Real GDP (thousands of chained 2017 dollars) ,369447,378454,364840,365533,388744,396755,Kansas,Jackson
Chain-type quantity indexes for real GDP ,100.000,102.438,98.753,98.941,105.223,107.391,Kansas,Jackson
Current-dollar GDP (thousands of current dollars) ,369447,386491,382525,397532,438406,479730,Kansas,Jackson
Real GDP (thousands of chained 2017 dollars) ,417398,421197,422558,435842,436563,372532,Kansas,Jefferson
Chain-type quantity indexes for real GDP ,100.000,100.910,101.236,104.419,104.592,89.251,Kansas,Jefferson
Current-dollar GDP (thousands of current dollars) ,417398,429996,442579,467370,504328,472188,Kansas,Jefferson
Real GDP (thousands of chained 2017 dollars) ,76977,107179,108138,108745,119115,64249,Kansas,Jewell
Chain-type quantity indexes for real GDP ,100.000,139.234,140.481,141.269,154.741,83.465,Kansas,Jewell
Current-dollar GDP (thousands of current dollars) ,76977,108309,110311,111618,146365,91399,Kansas,Jewell
Real GDP (thousands of chained 2017 dollars) ,48087156,49385525,50607347,49932185,51001391,53507243,Kansas,Johnson
Chain-type quantity indexes for real GDP ,100.000,102.700,105.241,103.837,106.060,111.271,Kansas,Johnson
Current-dollar GDP (thousands of current dollars) ,48087156,50185568,52411044,52667973,55601310,61538322,Kansas,Johnson
Real GDP (thousands of chained 2017 dollars) ,211864,199697,183038,199354,215817,203626,Kansas,Kearny
Chain-type quantity indexes for real GDP ,100.000,94.257,86.394,94.095,101.866,96.112,Kansas,Kearny
Current-dollar GDP (thousands of current dollars) ,211864,202486,184418,199347,259096,296761,Kansas,Kearny
Real GDP (thousands of chained 2017 dollars) ,276804,284691,276320,351000,324457,282518,Kansas,Kingman
Chain-type quantity indexes for real GDP ,100.000,102.849,99.825,126.804,117.215,102.064,Kansas,Kingman
Current-dollar GDP (thousands of current dollars) ,276804,294523,289946,368305,377833,368068,Kansas,Kingman
Real GDP (thousands of chained 2017 dollars) ,117982,137477,113468,134861,132367,93673,Kansas,Kiowa
Chain-type quantity indexes for real GDP ,100.000,116.523,96.174,114.306,112.193,79.396,Kansas,Kiowa
Current-dollar GDP (thousands of current dollars) ,117982,141319,117886,139753,157395,126064,Kansas,Kiowa
Real GDP (thousands of chained 2017 dollars) ,825088,851179,848548,820172,798368,814188,Kansas,Labette
Chain-type quantity indexes for real GDP ,100.000,103.162,102.843,99.404,96.762,98.679,Kansas,Labette
Current-dollar GDP (thousands of current dollars) ,825088,867151,887322,882870,904266,1015568,Kansas,Labette
Real GDP (thousands of chained 2017 dollars) ,126459,124333,106378,107308,109033,113134,Kansas,Lane
Chain-type quantity indexes for real GDP ,100.000,98.319,84.121,84.856,86.220,89.463,Kansas,Lane
Current-dollar GDP (thousands of current dollars) ,126459,124764,105608,104758,128496,161828,Kansas,Lane
Real GDP (thousands of chained 2017 dollars) ,2905840,2910279,2867175,2926106,2984552,2947593,Kansas,Leavenworth
Chain-type quantity indexes for real GDP ,100.000,100.153,98.669,100.697,102.709,101.437,Kansas,Leavenworth
Current-dollar GDP (thousands of current dollars) ,2905840,2979837,3003623,3139231,3309819,3467712,Kansas,Leavenworth
Real GDP (thousands of chained 2017 dollars) ,117016,116200,105081,130607,125129,106295,Kansas,Lincoln
Chain-type quantity indexes for real GDP ,100.000,99.302,89.800,111.614,106.933,90.838,Kansas,Lincoln
Current-dollar GDP (thousands of current dollars) ,117016,119295,110397,138727,150726,143136,Kansas,Lincoln
Real GDP (thousands of chained 2017 dollars) ,419738,466810,484943,517632,509079,451765,Kansas,Linn
Chain-type quantity indexes for real GDP ,100.000,111.215,115.535,123.323,121.285,107.630,Kansas,Linn
Current-dollar GDP (thousands of current dollars) ,419738,482536,510066,540803,606033,603435,Kansas,Linn
Real GDP (thousands of chained 2017 dollars) ,144340,140430,143058,153127,155575,140303,Kansas,Logan
Chain-type quantity indexes for real GDP ,100.000,97.291,99.112,106.088,107.783,97.203,Kansas,Logan
Current-dollar GDP (thousands of current dollars) ,144340,145867,150548,162318,187675,193559,Kansas,Logan
Real GDP (thousands of chained 2017 dollars) ,1355632,1514548,1436454,1427324,1462914,1488309,Kansas,Lyon
