Description,2017,2018,2019,2020,2021,2022,state,county
Chain-type quantity indexes for real GDP ,100.000,107.761,105.228,85.464,94.469,100.483,Alabama,Crenshaw
Current-dollar GDP (thousands of current dollars) ,441726,476741,471983,389206,442428,516679,Alabama,Crenshaw
Real GDP (thousands of chained 2017 dollars) ,2827288,2845911,2921760,2807266,3020298,3112513,Alabama,Cullman
Chain-type quantity indexes for real GDP ,100.000,100.659,103.341,99.292,106.827,110.088,Alabama,Cullman
Current-dollar GDP (thousands of current dollars) ,2827288,2896605,3037792,2987793,3375707,3826972,Alabama,Cullman
Real GDP (thousands of chained 2017 dollars) ,2834970,2790050,2806488,2784502,2891514,2884753,Alabama,Dale
Chain-type quantity indexes for real GDP ,100.000,98.416,98.995,98.220,101.995,101.756,Alabama,Dale
Current-dollar GDP (thousands of current dollars) ,2834970,2847797,2929164,2963202,3181381,3370503,Alabama,Dale
Real GDP (thousands of chained 2017 dollars) ,1246698,1252898,1263447,1250079,1259154,1196269,Alabama,Dallas
Chain-type quantity indexes for real GDP ,100.000,100.497,101.343,100.271,100.999,95.955,Alabama,Dallas
Current-dollar GDP (thousands of current dollars) ,1246698,1274867,1304892,1309472,1392497,1438621,Alabama,Dallas
Real GDP (thousands of chained 2017 dollars) ,1977689,2065444,2012749,1877040,2120202,2181316,Alabama,DeKalb
Chain-type quantity indexes for real GDP ,100.000,104.437,101.773,94.911,107.206,110.296,Alabama,DeKalb
Current-dollar GDP (thousands of current dollars) ,1977689,2087188,2079471,1987853,2315509,2607141,Alabama,DeKalb
Real GDP (thousands of chained 2017 dollars) ,1950579,1990146,2016328,1961812,2038808,2064691,Alabama,Elmore
Chain-type quantity indexes for real GDP ,100.000,102.028,103.371,100.576,104.523,105.850,Alabama,Elmore
Current-dollar GDP (thousands of current dollars) ,1950579,2033909,2106972,2102362,2288790,2469257,Alabama,Elmore
Real GDP (thousands of chained 2017 dollars) ,1269744,1250185,1249769,1194921,1199168,1187779,Alabama,Escambia
Chain-type quantity indexes for real GDP ,100.000,98.460,98.427,94.107,94.442,93.545,Alabama,Escambia
Current-dollar GDP (thousands of current dollars) ,1269744,1300103,1299082,1248087,1367612,1479761,Alabama,Escambia
Real GDP (thousands of chained 2017 dollars) ,3095515,3131025,3067345,2835555,2900784,2924073,Alabama,Etowah
Chain-type quantity indexes for real GDP ,100.000,101.147,99.090,91.602,93.709,94.462,Alabama,Etowah
Current-dollar GDP (thousands of current dollars) ,3095515,3191348,3203226,3040945,3241061,3489358,Alabama,Etowah
Real GDP (thousands of chained 2017 dollars) ,344642,340351,346343,335912,346793,337710,Alabama,Fayette
Chain-type quantity indexes for real GDP ,100.000,98.755,100.494,97.467,100.624,97.988,Alabama,Fayette
Current-dollar GDP (thousands of current dollars) ,344642,348902,361009,361979,399405,416576,Alabama,Fayette
Real GDP (thousands of chained 2017 dollars) ,968151,1028698,987027,909048,977743,1029838,Alabama,Franklin
Chain-type quantity indexes for real GDP ,100.000,106.254,101.950,93.895,100.991,106.372,Alabama,Franklin
Current-dollar GDP (thousands of current dollars) ,968151,1046721,1022791,964813,1069816,1212774,Alabama,Franklin
Real GDP (thousands of chained 2017 dollars) ,523521,535790,564534,559250,578794,557507,Alabama,Geneva
Chain-type quantity indexes for real GDP ,100.000,102.344,107.834,106.825,110.558,106.492,Alabama,Geneva
Current-dollar GDP (thousands of current dollars) ,523521,544542,587799,594233,663686,712291,Alabama,Geneva
Real GDP (thousands of chained 2017 dollars) ,218678,216735,229369,209430,194567,200050,Alabama,Greene
Chain-type quantity indexes for real GDP ,100.000,99.112,104.889,95.771,88.974,91.482,Alabama,Greene
Current-dollar GDP (thousands of current dollars) ,218678,223263,238994,218903,220996,249233,Alabama,Greene
Real GDP (thousands of chained 2017 dollars) ,293104,267685,268730,274917,250191,228355,Alabama,Hale
Chain-type quantity indexes for real GDP ,100.000,91.328,91.684,93.795,85.359,77.909,Alabama,Hale
Current-dollar GDP (thousands of current dollars) ,293104,274366,280447,295988,300341,297453,Alabama,Hale
Real GDP (thousands of chained 2017 dollars) ,422115,432263,444339,448637,464381,448995,Alabama,Henry
Chain-type quantity indexes for real GDP ,100.000,102.404,105.265,106.283,110.013,106.368,Alabama,Henry
Current-dollar GDP (thousands of current dollars) ,422115,440075,459027,475397,545100,582158,Alabama,Henry
Real GDP (thousands of chained 2017 dollars) ,5410140,5441082,5533187,5585685,5805447,5709703,Alabama,Houston
Chain-type quantity indexes for real GDP ,100.000,100.572,102.274,103.245,107.307,105.537,Alabama,Houston
Current-dollar GDP (thousands of current dollars) ,5410140,5573832,5830590,6011165,6671471,7115543,Alabama,Houston
Real GDP (thousands of chained 2017 dollars) ,1508968,1592423,1552192,1455231,1521659,1484505,Alabama,Jackson
Chain-type quantity indexes for real GDP ,100.000,105.531,102.864,96.439,100.841,98.379,Alabama,Jackson
Current-dollar GDP (thousands of current dollars) ,1508968,1622445,1615499,1545208,1698480,1815410,Alabama,Jackson
Real GDP (thousands of chained 2017 dollars) ,44607663,45407561,45980233,45507114,47784600,48581447,Alabama,Jefferson
Chain-type quantity indexes for real GDP ,100.000,101.793,103.077,102.016,107.122,108.908,Alabama,Jefferson
Current-dollar GDP (thousands of current dollars) ,44607663,46679111,48236273,48506913,53307159,57865866,Alabama,Jefferson
Real GDP (thousands of chained 2017 dollars) ,343759,342479,339487,326562,332753,323734,Alabama,Lamar
Chain-type quantity indexes for real GDP ,100.000,99.628,98.757,94.997,96.798,94.175,Alabama,Lamar
Current-dollar GDP (thousands of current dollars) ,343759,352369,358906,358041,389556,414622,Alabama,Lamar
Real GDP (thousands of chained 2017 dollars) ,2651431,2649394,2646302,2624507,2751783,2770761,Alabama,Lauderdale
Chain-type quantity indexes for real GDP ,100.000,99.923,99.807,98.985,103.785,104.501,Alabama,Lauderdale
Current-dollar GDP (thousands of current dollars) ,2651431,2716027,2778243,2830609,3132116,3381368,Alabama,Lauderdale
Real GDP (thousands of chained 2017 dollars) ,534109,557668,558625,560481,600832,582451,Alabama,Lawrence
Chain-type quantity indexes for real GDP ,100.000,104.411,104.590,104.937,112.492,109.051,Alabama,Lawrence
Current-dollar GDP (thousands of current dollars) ,534109,572523,588682,606083,691757,729478,Alabama,Lawrence
Real GDP (thousands of chained 2017 dollars) ,6138724,6112260,6342058,6187153,6561345,6860502,Alabama,Lee
Chain-type quantity indexes for real GDP ,100.000,99.569,103.312,100.789,106.885,111.758,Alabama,Lee
