,state,county,flattened_array,county_area,bounding_box,total_pixels,sq_mile_per_pixel,avg_pixel_value,solar_mw_sum,solar_mw_avg,solar_mw_count,MW / 1000 sq mile,Projects / 1000 sq mile,GHI,protected_land,habitat,slope,popl_dens,Substation,land_cover
0,Alabama,Autauga,[28 37 44 ... 39 39 40],824.0190169167346,"(-86.921237, 32.307574, -86.411172, 32.708213)",44744,0.018416302005112,43.35130967280529,0.0,0.0,0.0,0.0,0.0,20.0,98.68865099231182,45.628799392097264,63.66811192562131,93.73022081172894,62.03535669586984,61.381637761487575
1,Alabama,Baldwin,[ 60  60  60 ... 101 101 101],3243.0803532274763,"(-88.037309, 30.146561, -87.366591, 31.319017)",171524,0.0189074435835654,57.37415172220797,0.0,0.0,0.0,0.0,0.0,20.0,90.0066754506658,42.582816398871294,91.01008233298634,85.57268947034963,58.82847298337259,57.85158951437369
2,Alabama,Barbour,[35 35 35 ... 22 25 25],1508.1874122530471,"(-85.748433, 31.617565, -85.048825, 32.148251)",81096,0.0185975561341255,41.6039755351682,0.0,0.0,0.0,0.0,0.0,20.0,95.93913386603532,30.572161388971097,68.31769754365197,99.04668540988457,50.0,57.72584344480615
3,Alabama,Bibb,[ 0  0 23 ... 49 50 45],909.299081581707,"(-87.421989, 32.831522, -86.876023, 33.246926)",49920,0.0182151258329668,32.92331730769231,0.0,0.0,0.0,0.0,0.0,19.755809294871796,89.8622796474359,27.48888221153846,38.22568108974359,94.60006009615384,54.64302884615385,56.930348557692305
4,Alabama,Blount,[52 52 52 ... 46 46 46],1296.6735585484414,"(-86.963358, 33.765171, -86.303516, 34.260483)",71456,0.018146461578432,34.24100145544111,0.0,0.0,0.0,0.0,0.0,15.0,99.87306874160322,49.242121025526195,45.78133396775638,85.63486621137483,57.45654668607255,65.64305306762203
5,Alabama,Bullock,[50 57 50 ... 44 44 32],1014.446229287973,"(-85.999258, 31.880275, -85.410042, 32.305289)",54924,0.0184699990766872,43.46908455320079,0.0,0.0,0.0,0.0,0.0,20.0,95.49258976039619,31.532208142160076,77.5369419561576,100.0,54.06880416575632,58.95227951350957
6,Alabama,Butler,[37 32 44 ... 37 44 37],843.7899987244011,"(-86.908939, 31.523673, -86.438341, 31.964629)",45526,0.0185342441401485,46.70025919254931,0.0,0.0,0.0,0.0,0.0,20.0,99.99341035891578,42.942933708210695,78.00964284145324,98.29108641216008,57.678139963976626,58.21091244563546
7,Alabama,Calhoun,[46 41 52 ... 20 20 34],1011.9067288363136,"(-86.146225, 33.55593, -85.529432, 33.96846)",55584,0.0182050001589722,30.868379389752448,7.4,7.4,1.0,73.12926961667658,9.88233373198332,15.0,88.14820811744387,35.43429763960852,47.98774827288428,77.88131476683938,63.99953223949338,60.568418969487624
8,Alabama,Chambers,[25 25 22 ... 43 39 33],720.0702702304889,"(-85.593653, 32.72853, -85.122189, 33.109038)",39559,0.0182024386417879,45.10996233474052,79.2,79.2,1.0,1099.8926531802056,13.88753349975007,20.0,99.47875325463232,39.520968679693624,71.06913723804949,92.52117090927476,59.65342905533507,57.06066887433959
9,Alabama,Cherokee,[44 44 44 ... 21 21 21],1030.5664704880585,"(-85.843875, 33.941423, -85.398837, 34.526271)",56992,0.018082651433325,35.15275828186412,0.0,0.0,0.0,0.0,0.0,15.0,92.41586538461539,46.783846855699046,59.26524775407075,95.10808534531162,57.13117630544638,61.35204941044357
10,Alabama,Chilton,[22 22 22 ... 49 25  0],1071.8605456508622,"(-87.019157, 32.660117, -86.371118, 33.07188)",58479,0.018328982124367,37.875425366370834,0.0,0.0,0.0,0.0,0.0,20.0,94.19244515125088,35.59081037637443,50.8373262196686,95.10328493989296,50.0,59.42427196087485
11,Alabama,Choctaw,[25 25 25 ... 22 22 37],1355.1420189155417,"(-88.473227, 31.697929, -87.92825, 32.310574)",73185,0.0185166635091281,38.80362096057935,0.0,0.0,0.0,0.0,0.0,20.0,99.00970144155222,24.36797157887545,61.53648971783836,100.0,50.12844162055066,54.4578943772631
12,Alabama,Clarke,[32 22  0 ... 50 50 50],2235.8163985176097,"(-88.180821, 31.185486, -87.50093, 31.991355)",119886,0.0186495203653271,39.99918255676226,0.0,0.0,0.0,0.0,0.0,20.0,97.67128772333717,25.50864988405652,64.14121748994879,99.63807283586074,60.8653637622408,52.70128288540781
13,Alabama,Clay,[45 45 46 ... 35 49 49],871.1466690375509,"(-86.17437, 33.09026, -85.641129, 33.498904)",47559,0.0183171780112607,27.781618621081183,0.0,0.0,0.0,0.0,0.0,16.372610862297357,87.66143106457243,27.808406400470993,32.589120881431484,97.48375701759919,51.03503017304821,57.78163964759562
14,Alabama,Cleburne,[54 47 47 ... 45 45 45],1149.4377070511205,"(-85.887782, 33.469226, -85.304439, 33.964204)",63336,0.0181482522901844,26.127699886320578,0.0,0.0,0.0,0.0,0.0,15.0,85.32595995958064,28.52335164835165,33.01908866995074,87.19480232411267,57.936323733737524,59.56784451181003
15,Alabama,Coffee,[49 50 50 ... 42 50 50],726.67282933987,"(-86.196365, 31.182023, -85.789139, 31.619311)",39155,0.0185588770103401,44.348333546162685,0.0,0.0,0.0,0.0,0.0,20.0,99.59353850083004,32.871280807048905,73.34521772442855,93.51755842165751,50.97305580385647,63.64826969735666
16,Alabama,Colbert,[46 46 41 ... 52 52 52],969.0150178788866,"(-88.139988, 34.56623, -87.415888, 34.906694)",53742,0.0180308700435206,35.7814000223289,0.0,0.0,0.0,0.0,0.0,15.0,90.21100815005023,47.467995236500315,60.571675784302776,87.03928026496968,50.0,62.9238212199025
